SampleID;PID;TripID;Sample;RouteURL;NewRouteURL;Sendes til Aarhus;DOFAtlasQuadrantID;LandUSeType;subLandUseType;decimalLatitudeStart;decimalLongitudeStart;decimalLatitudeEnd;decimalLongitudeEnd;geodecticDatum;Date;StartTime;EndTime;Wind;Temperature;Notes;PilotNotes;Difficultroute;FullySampled;NotFullySampledRoute;DidNotReturnSampling;MissingTemperature;MissingWind;MissingDate;MissingTime;IncompleteTime;DifferentDatesForRoute;IncompleteDate;NotFullRoute;AlternativeRoute
P120.2B;P120;2B;sa4;https://goo.gl/maps/1ZiV1cmyuk82;https://goo.gl/maps/3RoaSwAARev;x;3583;skov;;;;;;;09-06-2018;18:12:00;18:28:00;Light Breeze 1.6-3.3;20-25;Route not possible needs revision in 2019;"The route was not passable in a normal car at ""Stenhusvej"". We drove another route in the same area. 9,6 km in all. See drawing at the card";yes;yes;;;;;;;;;;;?
P121.1A;P121;1A;sa1;https://goo.gl/maps/qaWbkdUJWgw;;;4585;urban;;;;;;;03-06-2018;14:30:00;14:50:00;Gentle breeze 3.4-5.5;25-30;Different dates 1A1B;;;yes;yes;;;;;;;yes;;;
P121.1B;P121;1B;sa2;https://goo.gl/maps/qaWbkdUJWgw;;;4585;urban;;;;;;;05-06-2018;19:30:00;20:00:00;Light Breeze 1.6-3.3;20-25;Different dates 1A1B;;;yes;yes;;;;;;;yes;;;
P121.2A;P121;2A;sa3;https://goo.gl/maps/kn2qN4KoUGt;;;4584;tør;overdrev;;;;;;04-06-2018;12:35:00;13:00:00;Moderate breeze 5.5-7.9;20-25;Different dates 2A2B;;;yes;yes;;;;;;;yes;;;
P121.2B;P121;2B;sa4;https://goo.gl/maps/kn2qN4KoUGt;;;4584;tør;overdrev;;;;;;08-06-2018;18:40:00;19:00:00;Gentle breeze 3.4-5.5;25-30;Different dates 2A2B;;;yes;yes;;;;;;;yes;;;
P122.1A;P122;1A;sa1;https://goo.gl/maps/ShsyLMNp79w;;;2322;tør;hede;;;;;;27-06-2018;12:15:00;13:00:00;Light Breeze 1.6-3.3;20-25;Pilot noted 20 degrees - rounded up;Sunshine and some mist from time to time;;yes;;;;;;;;;;;
P122.1B;P122;1B;sa2;https://goo.gl/maps/ShsyLMNp79w;;;2322;tør;hede;;;;;;27-06-2018;17:00:00;17:26:00;Light Breeze 1.6-3.3;20-25;Pilot noted 20 degrees - rounded up;;;yes;;;;;;;;;;;
P122.2A;P122;2A;sa3;https://goo.gl/maps/wWSxVzEH6Km;;;2381;tør;overdrev;;;;;;07-06-2018;12:30:00;12:45:00;Light Breeze 1.6-3.3;25-30;Different datas 2A2B. Pilot noted 25 degrees - rounded up;;;yes;yes;;;;;;;yes;;;
P122.2B;P122;2B;sa4;https://goo.gl/maps/wWSxVzEH6Km;;;2381;tør;overdrev;;;;;;25-06-2018;17:45:00;18:10:00;Gentle breeze 3.4-5.5;20-25;Different datas 2A2B;First trip driven 7/6. Second trip done today 25/6 due to illness and death in the family;;yes;yes;;;;;;;yes;;;
P123.1A;P123;1A;sa1;https://goo.gl/maps/Fv3Xeyiipt52;;;2455;våd;strandeng, eng;;;;;;06-06-2018;14:10:00;14:27:00;Gentle breeze 3.4-5.5;25-30;;;;yes;;;;;;;;;;;
P123.1B;P123;1B;sa2;https://goo.gl/maps/Fv3Xeyiipt52;;;2455;våd;strandeng, eng;;;;;;06-06-2018;18:50:00;19:10:00;Gentle breeze 3.4-5.5;20-25;;;;yes;;;;;;;;;;;
P123.2A;P123;2A;sa3;https://goo.gl/maps/qDjpMdSfJpQ2;https://goo.gl/maps/26bzhN5kuwo;;2445;mark;intensive, semi-intensive;;;;;;09-06-2018;12:33:00;12:57:00;Gentle breeze 3.4-5.5;25-30;Pilot noted light to gentle wind - rounded up. They drove further than specified, 13.8 km.;As seen on the map, we drove longer than specified;;no;yes;;;;;;;;;;yes
P123.2B;P123;2B;sa4;https://goo.gl/maps/qDjpMdSfJpQ2;;;2445;mark;intensive, semi-intensive;;;;;;09-06-2018;17:25:00;17:42:00;Gentle breeze 3.4-5.5;25-30;;;;yes;yes;;;;;;;;;;
P124.1A;P124;1A;sa1;https://goo.gl/maps/QGMtN9LBLmy;;;4353;skov;;;;;;;07-06-2018;14:45:00;14:57:00;Gentle breeze 3.4-5.5;20-25;;;;yes;;;;;;;;;;;
P124.1B;P124;1B;sa2;https://goo.gl/maps/QGMtN9LBLmy;;;4353;skov;;;;;;;07-06-2018;17:45:00;17:58:00;Gentle breeze 3.4-5.5;20-25;;;;yes;;;;;;;;;;;
P124.2A;P124;2A;sa3;https://goo.gl/maps/DumtuiwPJg92;;;4367;mark;intesive, extensive;;;;;;13-06-2018;12:20:00;12:30:00;Moderate breeze 5.5-7.9;20-25;Different dates 2A2B;;;yes;yes;;;;;;;yes;;;
P124.2B;P124;2B;sa4;https://goo.gl/maps/DumtuiwPJg92;;;4367;mark;intesive, extensive;;;;;;07-06-2018;18:15:00;18:30:00;Gentle breeze 3.4-5.5;20-25;Different dates 2A2B;;;yes;yes;;;;;;;yes;;;
P125.1A;P125;1A;sa1;https://goo.gl/maps/ce9kyDHy2fr;;;6858;mark;intensive;;;;;;;;;;;Pilot did not do the sample;;;no;yes;yes;;;;;;;;;
P125.1B;P125;1B;sa2;https://goo.gl/maps/ce9kyDHy2fr;;;6858;mark;intensive;;;;;;;;;;;Pilot did not do the sample;;;no;yes;yes;;;;;;;;;
P125.2A;P125;2A;sa3;https://goo.gl/maps/jEruDf7Bvyz;;;6862;skov;;;;;;;;;;;;Pilot did not do the sample;;;no;yes;yes;;;;;;;;;
P125.2B;P125;2B;sa4;https://goo.gl/maps/jEruDf7Bvyz;;;6862;skov;;;;;;;;;;;;Pilot did not do the sample;;;no;yes;yes;;;;;;;;;
P126.1A;P126;1A;sa1;https://goo.gl/maps/KK237fH91jF2;;;2664;tør, mark;hede, intensive;;;;;;25-06-2018;14:00:00;14:10:00;Light Breeze 1.6-3.3;15-20;;;;yes;yes;;;;;;;;;;
P126.1B;P126;1B;sa2;https://goo.gl/maps/KK237fH91jF2;;;2664;tør, mark;hede, intensive;;;;;;25-06-2018;19:50:00;20:00:00;Light Breeze 1.6-3.3;15-20;I think the pilot wrote 1B on 2A. Check.;;;?;yes;yes;;;;;;;;;
P126.2A;P126;2A;sa3;https://goo.gl/maps/dE6FytMGg8K2;;x;3522;skov;;;;;;;;;;;;Route not possible (blocked), needs revision in 2019;;yes;?;yes;yes;;;;;;;;;
P126.2B;P126;2B;sa4;https://goo.gl/maps/dE6FytMGg8K2;;x;3522;skov;;;;;;;;;;;;Route not possible (blocked), needs revision in 2019;;yes;no;yes;yes;;;;;;;;;
P127.1A;P127;1A;sa1;https://goo.gl/maps/aUQftVei6tG2;;;4741;urban;;;;;;;05-06-2018;14:10:00;14:30:00;Moderate breeze 5.5-7.9;20-25;Pilot noted gentle to moderate wind - rounded up;Had to stop a few times because of traffic;;yes;;;;;;;;;;;
P127.1B;P127;1B;sa2;https://goo.gl/maps/aUQftVei6tG2;;;4741;urban;;;;;;;05-06-2018;19:32:00;19:53:00;Gentle breeze 3.4-5.5;20-25;;;;yes;;;;;;;;;;;
P127.2A;P127;2A;sa3;https://goo.gl/maps/q6rd2MSjduC2;;;4764;mark;intensive, extensive, semi-intensive;;;;;;05-06-2018;13:13:00;13:30:00;Moderate breeze 5.5-7.9;20-25;Pilot noted gentle to moderate wind - rounded up;;;yes;;;;;;;;;;;
P127.2B;P127;2B;sa4;https://goo.gl/maps/q6rd2MSjduC2;;;4764;mark;intensive, extensive, semi-intensive;;;;;;05-06-2018;18:35:00;18:53:00;Gentle breeze 3.4-5.5;20-25;;;;yes;;;;;;;;;;;
P128.1A;P128;1A;sa1;https://goo.gl/maps/Wo319smww9s;;;3280;tør;overdrev;;;;;;12-06-2018;12:05:00;12:30:00;Gentle breeze 3.4-5.5;20-25;;;;yes;;;;;;;;;;;
P128.1B;P128;1B;sa2;https://goo.gl/maps/Wo319smww9s;;;3280;tør;overdrev;;;;;;12-06-2018;17:15:00;17:45:00;Gentle breeze 3.4-5.5;20-25;pilot noted 20 degrees - rounded up;;;yes;;;;;;;;;;;
P128.2A;P128;2A;sa3;https://goo.gl/maps/gTY9yGPu8PN2;;;3379;tør;hede;;;;;;23-06-2018;12:20:00;12:40:00;Moderate breeze 5.5-7.9;15-20;Different dates 2A2B;Cloudy;;yes;yes;;;;;;;yes;;;
P128.2B;P128;2B;sa4;https://goo.gl/maps/gTY9yGPu8PN2;;;3379;tør;hede;;;;;;24-06-2018;17:35:00;17:55:00;Moderate breeze 5.5-7.9;15-20;Different dates 2A2B;Cloudy;;yes;yes;;;;;;;yes;;;
P129.1A;P129;1A;sa1;https://goo.gl/maps/XteTHsQGHXP2;;;4270;tør;overdrev;;;;;;01-06-2018;13:47:00;14:02:00;Light Breeze 1.6-3.3;20-25;;"Totally calm and ""heavy"" weather";;yes;;;;;;;;;;;
P129.1B;P129;1B;sa2;https://goo.gl/maps/XteTHsQGHXP2;;;4270;tør;overdrev;;;;;;01-06-2018;17:58:00;18:14:00;Light Breeze 1.6-3.3;20-25;;Totally calm and lots of sun;;yes;;;;;;;;;;;
P129.2A;P129;2A;sa3;https://goo.gl/maps/GPzGYe7P5sM2;https://goo.gl/maps/8aVS7kZkeZ62;;4389;urban;;;;;;;01-06-2018;14:28:00;14:40:00;Light Breeze 1.6-3.3;20-25;Pilot had trouble as map and link is not consistent, smartphone problem?. Drove too short distance;"Totally calm and ""heavy"" weather. Note that the route is not finnished, see map.";;no;yes;;;;;;;;;yes;
P129.2B;P129;2B;sa4;https://goo.gl/maps/GPzGYe7P5sM2;https://goo.gl/maps/8aVS7kZkeZ62;;4389;urban;;;;;;;01-06-2018;18:28:00;18:40:00;Light Breeze 1.6-3.3;20-25;Pilot had trouble as map and link is not consistent, smartphone problem?. Drove too short distance;Totally calm and lots of sun. Note that the route is not finnished, as the map was not consistent with link;;no;yes;;;;;;;;;yes;
P13.1A;P13;1A;sa1;https://goo.gl/maps/14GnBhRAiEx;;;6692;urban;;;;;;;02-06-2018;13:09:00;13:33:00;Gentle breeze 3.4-5.5;25-30;;Red light at the route back, had to stop for 1 min. Trouble with tighting the net at the start of the route, collapsed after 50 meter. Sunny and very hot, ca. 30 degrees. Forgot to look at the time when I stopped. 28 degrees DMI, 6 m/s DMI;;yes;;;;;;;;;;;
P13.1B;P13;1B;sa2;https://goo.gl/maps/14GnBhRAiEx;;;6692;urban;;;;;;;02-06-2018;17:40:00;18:00:00;Light Breeze 1.6-3.3;25-30;;Had a fine trip, sun, hot weather. Almost 28 degrees, light wind;;yes;;;;;;;;;;;
P13.2A;P13;2A;sa3;https://goo.gl/maps/X9YTzvcNi4F2;https://goo.gl/maps/yjEkvobuRXC2;x;6693;tør;overdrev;;;;;;05-06-2018;13:23:00;13:45:00;Gentle breeze 3.4-5.5;20-25;Got new route. Quadrant and landusetype fits original route;Stopped because of red light. Note! Got a new route;;yes;yes;;;;;;;;;;
P13.2B;P13;2B;sa4;https://goo.gl/maps/X9YTzvcNi4F2;https://goo.gl/maps/yjEkvobuRXC2;x;6693;tør;overdrev;;;;;;05-06-2018;17:25:00;17:46:00;Moderate breeze 5.5-7.9;20-25;God new route. Quadrant and landusetype fits original route. Wind noted as gently/moderate (rounded up). Pilot took a detour.;"Took a detour at the way back (1.9 km longer in all). (the detour was 3.5 km). Had to stop for red light at ""Vindinge"" ca 1 minute. There was 1.2 km that I did not drive.";;no;yes;;;;;;;;;;yes
P130.1A;P130;1A;sa1;https://goo.gl/maps/cgygcnXwpbD2;;;4335;våd;eng, mose;;;;;;28-06-2018;13:15:00;13:45:00;Gentle breeze 3.4-5.5;25-30;;;;yes;;;;;;;;;;;
P130.1B;P130;1B;sa2;https://goo.gl/maps/cgygcnXwpbD2;;;4335;våd;eng, mose;;;;;;28-06-2018;19:15:00;19:45:00;Gentle breeze 3.4-5.5;25-30;Pilot noted 25 degrees (rounded up);;;yes;;;;;;;;;;;
P130.2A;P130;2A;sa3;https://goo.gl/maps/EQ6yHesV5YJ2;;;4346;våd;eng, mose, sø;;;;;;28-06-2018;12:15:00;12:40:00;Gentle breeze 3.4-5.5;25-30;Different dates 2A2B;;;yes;yes;;;;;;;yes;;;
P130.2B;P130;2B;sa4;https://goo.gl/maps/EQ6yHesV5YJ2;;;4346;våd;eng, mose, sø;;;;;;27-06-2018;19:30:00;20:00:00;Light Breeze 1.6-3.3;15-20;Different dates 2A2B;;;yes;yes;;;;;;;yes;;;
P131.1A;P131;1A;sa1;https://goo.gl/maps/tcbfUthhLeA2;;;4245;tør, mark;overdrev, intensive;;;;;;;;;;;Pilot did not do the sample;;;no;yes;yes;;;;;;;;;
P131.1B;P131;1B;sa2;https://goo.gl/maps/tcbfUthhLeA2;;;4245;tør, mark;overdrev, intensive;;;;;;;;;;;Pilot did not do the sample;;;no;yes;yes;;;;;;;;;
P131.2A;P131;2A;sa3;https://goo.gl/maps/ntNYefZMVfA2;https://goo.gl/maps/ntNYefZMVfA2;?;4256;mark;intensive;;;;;;;;;;;Pilot did not do the sample. Original route not in this spreadsheet, but quadrant and land use information is the same;;;no;yes;yes;;;;;;;;;
P131.2B;P131;2B;sa4;https://goo.gl/maps/ntNYefZMVfA2;https://goo.gl/maps/ntNYefZMVfA2;?;4256;mark;intensive;;;;;;;;;;;Pilot did not do the sample. Original route not in this spreadsheet, but quadrant and land use information is the same;;;no;yes;yes;;;;;;;;;
P132.1A;P132;1A;sa1;https://goo.gl/maps/3Unk4PFvrik;;;4244;urban;;;;;;;25-06-2018;13:27:00;13:44:00;Gentle breeze 3.4-5.5;20-25;Pilot noted light/gentle wind (rounded up);;;yes;;;;;;;;;;;
P132.1B;P132;1B;sa2;https://goo.gl/maps/3Unk4PFvrik;;;4244;urban;;;;;;;25-06-2018;18:28:00;18:45:00;Moderate breeze 5.5-7.9;20-25;Pilot noted gentle/moderate wind (rounded up);;;yes;;;;;;;;;;;
P132.2A;P132;2A;sa3;https://goo.gl/maps/uXtJjY6yx8p;;;4254;skov, tør;hede, overdrev;;;;;;08-06-2018;12:42:00;13:00:00;Moderate breeze 5.5-7.9;20-25;Pilot noted gentle/moderate wind (rounded up);;;yes;;;;;;;;;;;
P132.2B;P132;2B;sa4;https://goo.gl/maps/uXtJjY6yx8p;;;4254;skov, tør;hede, overdrev;;;;;;08-06-2018;17:20:00;17:39:00;Gentle breeze 3.4-5.5;20-25;Pilot noted light/gentle wind (rounded up);;;yes;;;;;;;;;;;
P133.1A;P133;1A;sa1;https://goo.gl/maps/kiLmZmJU2G82;;;4283;urban;;;;;;;02-06-2018;13:24:00;13:44:00;Light Breeze 1.6-3.3;20-25;Different dates 1A1B;The trip started in a residential neighbourhood - then 500 meters along the railway terrain - last through the center of the town. Had to stop 5 out of 12 traffic lights;;yes;yes;;;;;;;yes;;;
P133.1B;P133;1B;sa2;https://goo.gl/maps/kiLmZmJU2G82;;;4283;urban;;;;;;;30-06-2018;19:04:00;19:20:00;Light Breeze 1.6-3.3;20-25;Different dates 1A1B;A trip with almost no insects, a large insect escaped the net when I pulled off the net-end. Stopped 8 out of 12 trafficlights.;;yes;yes;;;;;;;yes;;;
P133.2A;P133;2A;sa3;https://goo.gl/maps/MY6BwsGpQDt;;x;4272;tør;overdrev;;;;;;02-06-2018;12:32:00;12:57:00;Light Breeze 1.6-3.3;20-25;Different dates 2A2B. Difficult route, needs revision in 2019 - pilot has an idea how to make it optimal (see pilot notes);A very tortuous route. Half on gravel road. 2.5 km with 30 km/h speedlimit, the speed was therefor not over 40 km/h. Only around 500 meters with possibility to drive 50 km/h. Surprised that there was so few insects in the net, because I saw a lot of life on the route. Drove by many butterflies and insects.;yes;yes;yes;;;;;;;yes;;;
P133.2B;P133;2B;sa4;https://goo.gl/maps/MY6BwsGpQDt;;x;4272;tør;overdrev;;;;;;30-06-2018;18:18:00;18:34:00;Light Breeze 1.6-3.3;20-25;Different dates 2A2B. Difficult route, needs revision in 2019 - pilot has an idea how to make it optimal (see pilot notes);Not the best route. Next year: change Hestevangsvej out with the next road.;yes;yes;yes;;;;;;;yes;;;
P134.1A;P134;1A;sa1;https://goo.gl/maps/SekqbC89sHA2;;;4304;urban;;;;;;;05-06-2018;12:45:00;13:15:00;Gentle breeze 3.4-5.5;15-20;;Cloudless weather;;yes;;;;;;;;;;;
P134.1B;P134;1B;sa2;https://goo.gl/maps/SekqbC89sHA2;;;4304;urban;;;;;;;05-06-2018;17:15:00;18:15:00;Light Breeze 1.6-3.3;15-20;Pilot used an hour;Dryly and sunny;;yes;;;;;;;;;;;
P134.2A;P134;2A;sa3;https://goo.gl/maps/GbiQthjWFhP2;;;4303;urban;;;;;;;05-06-2018;13:35:00;13:55:00;Gentle breeze 3.4-5.5;15-20;;Cloudless weather;;yes;;;;;;;;;;;
P134.2B;P134;2B;sa4;https://goo.gl/maps/GbiQthjWFhP2;;;4303;urban;;;;;;;05-06-2018;17:55:00;18:20:00;Light Breeze 1.6-3.3;15-20;;Dryly and sunny;;yes;;;;;;;;;;;
P135.1A;P135;1A;sa1;https://goo.gl/maps/NWxYrpAJinM2;;;4439;skov;;;;;;;01-06-2018;12:52:00;13:09:00;Gentle breeze 3.4-5.5;20-25;;Full sun;;yes;;;;;;;;;;;
P135.1B;P135;1B;sa2;https://goo.gl/maps/NWxYrpAJinM2;;;4439;skov;;;;;;;01-06-2018;18:32:00;18:50:00;Light Breeze 1.6-3.3;20-25;;Sunshine;;yes;;;;;;;;;;;
P135.2A;P135;2A;sa3;https://goo.gl/maps/zEKD7VtK3zu;;;4340;våd;eng, mose, sø;;;;;;06-06-2018;13:21:00;13:39:00;Gentle breeze 3.4-5.5;25-30;Pilot noted 25 degrees (rounded up);Light wind but from east therefor direct across the road;;yes;;;;;;;;;;;
P135.2B;P135;2B;sa4;https://goo.gl/maps/zEKD7VtK3zu;;;4340;våd;eng, mose, sø;;;;;;06-06-2018;19:03:00;19:21:00;Light Breeze 1.6-3.3;25-30;;Sunshine and no clouds;;yes;;;;;;;;;;;
P136.1A;P136;1A;sa1;https://goo.gl/maps/iKqRwZL1LiL2;;;3390;skov;;;;;;;03-06-2018;12:00:00;12:25:00;Light Breeze 1.6-3.3;20-25;;;;yes;;;;;;;;;;;
P136.1B;P136;1B;sa2;https://goo.gl/maps/iKqRwZL1LiL2;;;3390;skov;;;;;;;03-06-2018;17:25:00;17:45:00;Gentle breeze 3.4-5.5;20-25;;;;yes;;;;;;;;;;;
P136.2A;P136;2A;sa3;https://goo.gl/maps/aPxE4wCP8rG2;;;3489;mark;intensive;;;;;;06-06-2018;12:15:00;12:35:00;Light Breeze 1.6-3.3;20-25;Pilot noted light/no wind;;;yes;;;;;;;;;;;
P136.2B;P136;2B;sa4;https://goo.gl/maps/aPxE4wCP8rG2;;;3489;mark;intensive;;;;;;06-06-2018;17:15:00;17:35:00;Light Breeze 1.6-3.3;20-25;;;;yes;;;;;;;;;;;
P137.1A;P137;1A;sa1;https://goo.gl/maps/1ohzzwYCdJ12;;;2497;mark;intensive, extensive, semi-intensive;;;;;;08-06-2018;12:20:00;12:43:00;Gentle breeze 3.4-5.5;25-30;Different dates 1A1B;Finally calm weather on a day off;;yes;yes;;;;;;;yes;;;
P137.1B;P137;1B;sa2;https://goo.gl/maps/1ohzzwYCdJ12;;;2497;mark;intensive, extensive, semi-intensive;;;;;;07-06-2018;17:05:00;17:28:00;Gentle breeze 3.4-5.5;25-30;Different dates 1A1B;Seems like it is only the small insects at the end of the net. The big ones fly out or do not fall to the end. Ex two Zygoptera (vandnymfe) were present in the net, but did not fall to the end.;;yes;yes;;;;;;;yes;;;
P137.2A;P137;2A;sa3;https://goo.gl/maps/1fUcW6JQsFL2;;;3408;urban;;;;;;;26-06-2018;14:07:00;14:28:00;Moderate breeze 5.5-7.9;25-30;;"A bit too much wind, but I cannot wait any more for a calm day, because I am going on holiday. ""æv æv""";;yes;;;;;;;;;;;
P137.2B;P137;2B;sa4;https://goo.gl/maps/1fUcW6JQsFL2;;;3408;urban;;;;;;;26-06-2018;18:15:00;18:37:00;Gentle breeze 3.4-5.5;25-30;;;;yes;;;;;;;;;;;
P138.1A;P138;1A;sa1;https://goo.gl/maps/uVqv2Y9mmiS2;;;3404;urban;;;;;;;02-06-2018;13:15:00;13:30:00;Light Breeze 1.6-3.3;25-30;;Very hot weather, no clouds in the sky;;yes;;;;;;;;;;;
P138.1B;P138;1B;sa2;https://goo.gl/maps/uVqv2Y9mmiS2;;;3404;urban;;;;;;;02-06-2018;17:30:00;17:45:00;Gentle breeze 3.4-5.5;25-30;;Still very hot, no clouds in the sky;;yes;;;;;;;;;;;
P138.2A;P138;2A;sa3;https://goo.gl/maps/ZtkGprMjZA42;;;2494;urban;;;;;;;26-06-2018;13:20:00;13:40:00;Gentle breeze 3.4-5.5;25-30;;Warm day;;yes;;;;;;;;;;;
P138.2B;P138;2B;sa4;https://goo.gl/maps/ZtkGprMjZA42;;;2494;urban;;;;;;;26-06-2018;18:50:00;19:10:00;Gentle breeze 3.4-5.5;25-30;Piot noted 25 degrees (rounded up);;;yes;;;;;;;;;;;
P139.1A;P139;1A;sa1;https://goo.gl/maps/NyG8ECXbM3w;;;2441;mark;intensive, semi-intensive;;;;;;01-07-2018;14:22:00;14:47:00;Gentle breeze 3.4-5.5;20-25;Note that date is in juli;;;no;yes;;;;;;;;yes;;
P139.1B;P139;1B;sa2;https://goo.gl/maps/NyG8ECXbM3w;;;2441;mark;intensive, semi-intensive;;;;;;01-07-2018;18:07:00;18:28:00;Gentle breeze 3.4-5.5;20-25;Note that date is in juli;;;no;yes;;;;;;;;yes;;
P139.2A;P139;2A;sa3;https://goo.gl/maps/GCE11PuRGAN2;;;2442;tør;overdrev;;;;;;01-07-2018;14:59:00;15:16:00;Gentle breeze 3.4-5.5;20-25;Note that date is in juli;;;no;yes;;;;;;;;yes;;
P139.2B;P139;2B;sa4;https://goo.gl/maps/GCE11PuRGAN2;;;2442;tør;overdrev;;;;;;01-07-2018;18:45:00;19:05:00;Gentle breeze 3.4-5.5;20-25;Note that date is in juli;;;no;yes;;;;;;;;yes;;
P14.1A;P14;1A;sa1;https://goo.gl/maps/5fETspf1swE2;;;4545;urban;;;;;;;;;;;;Pilot did not do the sample;;;no;yes;yes;;;;;;;;;
P14.1B;P14;1B;sa2;https://goo.gl/maps/5fETspf1swE2;;;4545;urban;;;;;;;;;;;;Pilot did not do the sample;;;no;yes;yes;;;;;;;;;
P14.2A;P14;2A;sa3;https://goo.gl/maps/sRLiQ9kPPzC2;;;4546;skov;;;;;;;;;;;;Pilot did not do the sample;;;no;yes;yes;;;;;;;;;
P14.2B;P14;2B;sa4;https://goo.gl/maps/sRLiQ9kPPzC2;;;4546;skov;;;;;;;;;;;;Pilot did not do the sample;;;no;yes;yes;;;;;;;;;
P140.1A;P140;1A;sa1;https://goo.gl/maps/3c3XiAKKCvE2;;;1494;tør;hede, overdrev;;;;;;;;;;;Pilot did not do the sample;;;no;yes;yes;;;;;;;;;
P140.1B;P140;1B;sa2;https://goo.gl/maps/3c3XiAKKCvE2;;;1494;tør;hede, overdrev;;;;;;;;;;;Pilot did not do the sample;;;no;yes;yes;;;;;;;;;
P140.2A;P140;2A;sa3;https://goo.gl/maps/zTovWoktBAz;;;2404;mark;intensive;;;;;;;;;;;Pilot did not do the sample;;;no;yes;yes;;;;;;;;;
P140.2B;P140;2B;sa4;https://goo.gl/maps/zTovWoktBAz;;;2404;mark;intensive;;;;;;;;;;;Pilot did not do the sample;;;no;yes;yes;;;;;;;;;
P141.1A;P141;1A;sa1;https://goo.gl/maps/fkD31vffCiB2;;;2507;mark;intensive;;;;;;02-06-2018;13:00:00;13:08:00;Light Breeze 1.6-3.3;25-30;Pilot only drove 1A and did not drive the 3 other trips;Sunny and no clouds;;yes;yes;;;;;;;;;;
P141.1B;P141;1B;sa2;https://goo.gl/maps/fkD31vffCiB2;;;2507;mark;intensive;;;;;;;;;;;Pilot did not do the sample;;;no;yes;yes;;;;;;;;;
P141.2A;P141;2A;sa3;https://goo.gl/maps/6t92gmDYFex;;;1598;urban;;;;;;;;;;;;Pilot did not do the sample;;;no;yes;yes;;;;;;;;;
P141.2B;P141;2B;sa4;https://goo.gl/maps/6t92gmDYFex;;;1598;urban;;;;;;;;;;;;Pilot did not do the sample;;;no;yes;yes;;;;;;;;;
P142.1A;P142;1A;sa1;https://goo.gl/maps/SXVueTPXxoG2;;;3509;mark;intensive, semi-intensive;;;;;;08-06-2018;13:28:00;13:55:00;Light Breeze 1.6-3.3;25-30;;;;yes;;;;;;;;;;;
P142.1B;P142;1B;sa2;https://goo.gl/maps/SXVueTPXxoG2;;;3509;mark;intensive, semi-intensive;;;;;;08-06-2018;18:42:00;19:04:00;Gentle breeze 3.4-5.5;25-30;;;;yes;;;;;;;;;;;
P142.2A;P142;2A;sa3;https://goo.gl/maps/YGvMANATwno;https://goo.gl/maps/YGvMANATwno;x;2599;skov;;;;;;;15-06-2018;13:05:00;13:25:00;Gentle breeze 3.4-5.5;15-20;Got new route. Original route not in this spreadsheet, but quadrant and land use information is the same;new route;;yes;;;;;;;;;;;
P142.2B;P142;2B;sa4;https://goo.gl/maps/YGvMANATwno;https://goo.gl/maps/YGvMANATwno;x;2599;skov;;;;;;;15-06-2018;17:15:00;17:30:00;Gentle breeze 3.4-5.5;15-20;Got new route. Original route not in this spreadsheet, but quadrant and land use information is the same;new route;;yes;;;;;;;;;;;
P143.1A;P143;1A;sa1;https://goo.gl/maps/gHqkh24BFqv;;;2471;urban;;;;;;;30-06-2018;13:15:00;13:50:00;Light Breeze 1.6-3.3;20-25;;Two white butterflies in the net, but not in the sampling. Unfortunately I do not know what the species is;;yes;;;;;;;;;;;
P143.1B;P143;1B;sa2;https://goo.gl/maps/gHqkh24BFqv;;;2471;urban;;;;;;;30-06-2018;18:15:00;18:50:00;Moderate breeze 5.5-7.9;20-25;;There is more wind than 1A;;yes;;;;;;;;;;;
P143.2A;P143;2A;sa3;https://goo.gl/maps/jezwYvdAYH92;;x;2482;skov;;;;;;;30-06-2018;14:15:00;14:55:00;Light Breeze 1.6-3.3;25-30;Part of the route was on private road, needs revision in 2019;Many ladybirds in the net. Part of the road is forest road and forbidden to drive, it required lots of persuasion to get permission. Besides the road is horrible, not for small cars, the tracks are too deep.;yes;yes;;;;;;;;;;;
P143.2B;P143;2B;sa4;https://goo.gl/maps/jezwYvdAYH92;;x;2482;skov;;;;;;;30-06-2018;19:15:00;19:45:00;Moderate breeze 5.5-7.9;20-25;Part of the route was on private road, needs revision in 2019;"Saw many ""blå mosaikguldsmed"" (Aeshna cyanea) I think";yes;yes;;;;;;;;;;;
P144.1A;P144;1A;sa1;https://goo.gl/maps/smZuQmNvcKw;https://goo.gl/maps/jVawCKMRqVp;x;3412;våd;eng;;;;;;05-06-2018;12:43:00;13:05:00;Moderate breeze 5.5-7.9;20-25;Got new route. Quadrant and landusetype fits original route;Got another route after agreement with you;;yes;;;;;;;;;;;
P144.1B;P144;1B;sa2;https://goo.gl/maps/smZuQmNvcKw;https://goo.gl/maps/jVawCKMRqVp;x;3412;våd;eng;;;;;;05-06-2018;17:36:00;17:57:00;Gentle breeze 3.4-5.5;20-25;Got new route. Quadrant and landusetype fits original route;Got another route after agreement with you;;yes;;;;;;;;;;;
P144.2A;P144;2A;sa3;https://goo.gl/maps/M16WBkPmthw;;;3421;skov;;;;;;;03-06-2018;13:35:00;13:55:00;Gentle breeze 3.4-5.5;25-30;;;;yes;;;;;;;;;;;
P144.2B;P144;2B;sa4;https://goo.gl/maps/M16WBkPmthw;;;3421;skov;;;;;;;03-06-2018;17:33:00;17:55:00;Gentle breeze 3.4-5.5;25-30;;;;yes;;;;;;;;;;;
